subregion,scenario,window,SMB_hist,SMB_proj,dSMB,suspicious
Qilian_Shan,ssp585,2020-2039,-0.2425,-0.3516,-0.1092,False
W_Himalaya,ssp585,2020-2039,-0.1858,-0.2882,-0.1024,False
W_Nepal,ssp585,2020-2039,-0.3134,-0.3792,-0.0657,False
W_Pamir,ssp585,2020-2039,-0.046,-0.3641,-0.3181,False
C_Himalaya,ssp585,2040-2059,-0.411,-0.3683,0.0427,True
C_Tian_Shan,ssp585,2040-2059,-0.2389,-0.5776,-0.3387,False
E_Himalaya,ssp585,2040-2059,-0.4545,-0.3815,0.073,True
E_Pamir,ssp585,2040-2059,-0.037,-0.3485,-0.3115,False
Hengduan_Shan_N,ssp585,2040-2059,-0.4857,-0.5261,-0.0404,False
Hindu_Kush,ssp585,2040-2059,-0.0657,-0.3179,-0.2521,False
Inner_Tibet,ssp585,2040-2059,-0.1433,-0.3193,-0.1759,False
Karakoram,ssp585,2040-2059,0.0251,-0.2429,-0.268,False
Kunlun,ssp585,2040-2059,-0.0043,-0.2912,-0.2869,False
N_Tian_Shan,ssp585,2040-2059,-0.4252,-0.6291,-0.2038,False
Pamir_Alay,ssp585,2040-2059,-0.1301,-0.473,-0.3429,False
Qilian_Shan,ssp585,2040-2059,-0.2425,-0.37,-0.1275,False
W_Himalaya,ssp585,2040-2059,-0.1858,-0.3238,-0.138,False
W_Nepal,ssp585,2040-2059,-0.3134,-0.4164,-0.103,False
W_Pamir,ssp585,2040-2059,-0.046,-0.3848,-0.3388,False
C_Himalaya,ssp585,2060-2079,-0.411,-0.3924,0.0185,False
C_Tian_Shan,ssp585,2060-2079,-0.2389,-0.6224,-0.3836,False
E_Himalaya,ssp585,2060-2079,-0.4545,-0.3904,0.0641,True
E_Pamir,ssp585,2060-2079,-0.037,-0.3745,-0.3375,False
Hengduan_Shan_N,ssp585,2060-2079,-0.4857,-0.5515,-0.0658,False
Hindu_Kush,ssp585,2060-2079,-0.0657,-0.3369,-0.2711,False
Inner_Tibet,ssp585,2060-2079,-0.1433,-0.3626,-0.2193,False
Karakoram,ssp585,2060-2079,0.0251,-0.2744,-0.2995,False
Kunlun,ssp585,2060-2079,-0.0043,-0.3437,-0.3394,False
N_Tian_Shan,ssp585,2060-2079,-0.4252,-0.6951,-0.2699,False
Pamir_Alay,ssp585,2060-2079,-0.1301,-0.4831,-0.353,False
Qilian_Shan,ssp585,2060-2079,-0.2425,-0.4159,-0.1734,False
W_Himalaya,ssp585,2060-2079,-0.1858,-0.36,-0.1742,False
W_Nepal,ssp585,2060-2079,-0.3134,-0.4869,-0.1735,False
W_Pamir,ssp585,2060-2079,-0.046,-0.4177,-0.3717,False
