feature,0
T_JJA_std_C,0.07029904
P_JJA_mm,0.04595056
slope_deg,0.02765622
zmean_m,0.026601106
precip_winter_frac,0.020802287
continentality,0.020745436
P_SON_mm,0.020173162
T_MAM_C,0.015029824
elev_range_m,0.01350542
area_km2,0.012635777
T_JJA_lapse_C,0.012605072
T_JJA_max_C,0.0121822925
P_std_mm,0.011586475
T_ann_lapse_C,0.011404055
T_JJA_trend_C_dec,0.011278128
melt_index,0.010418406
P_trend_mm_dec,0.009943772
T_DJF_C,0.008014432
T_SON_C,0.007893927
P_MAM_mm,0.007863753
P_mean_mm,0.007856008
T_trend_C_dec,0.0071606347
T_std_C,0.0070954002
cryo_balance,0.00707007
aspect_cos,0.0069560916
P_trend_x_wfrac,0.006012762
P_snow_mm,0.0057181385
T_JJA_C,0.0052738213
P_DJF_mm,0.0052403393
T_DJF_min_C,0.0039749756
aspect_sin,0.003463873
T_mean_C,0.0025585508
log_area_km2,0.0021143719
